"idx","AID","address","lat","lon"
134,"A544366","Beckett Road And Kiva Drive in Austin (TX)",-1.0,-1.0
135,"A545642","Austin (TX)",-1.0,-1.0
136,"A546199","5814 Gloucester Lane in Austin (TX)",30.30584,-97.678009
137,"A546726","4309 Oak Creek Dr in Austin (TX)",30.430774,-97.715359
138,"A547054","Austin (TX)",-1.0,-1.0
139,"A547142","Austin (TX)",-1.0,-1.0
140,"A548513","9901 North Lamar Boulvard in Austin (TX)",-1.0,-1.0
141,"A548919","2206 Blue Meadow Dr in Austin (TX)",30.182112,-97.762965
142,"A548940","5426 Menchaca Rd in Austin (TX)",30.217118,-97.797073
143,"A549876","10501 Walnut Bend Dr in Austin (TX)",30.366392,-97.675344
144,"A549917","1647 Rutland Dr in Austin (TX)",30.373797,-97.712583
145,"A550207","Austin (TX)",-1.0,-1.0
146,"A552025","4703 Quicksilver Blvd in Austin (TX)",30.173258,-97.757475
147,"A552059","2204 Whitestone Dr in Austin (TX)",30.215845,-97.80241
148,"A552811","Austin (TX)",-1.0,-1.0
149,"A553074","Montopolis And Grove St in Austin (TX)",-1.0,-1.0
150,"A553251","3507 Starline Drive in Austin (TX)",30.362657,-97.745821
151,"A554236","Austin (TX)",-1.0,-1.0
152,"A554278","3002 Birdwood Circle in Austin (TX)",30.238008,-97.771418
153,"A554344","11821 Carrizo Springs in Travis (TX)",30.33225,-97.558288
154,"A554477","1657 Chippeway Lane in Austin (TX)",30.203012,-97.799785
155,"A554608","Austin (TX)",-1.0,-1.0
156,"A555431","1647 Chippeway in Austin (TX)",30.203909,-97.799211
157,"A556025","9801 Menchaca Road Walgreens in Austin (TX)",-1.0,-1.0
158,"A556434","2601 Light Foot Trail in Austin (TX)",-1.0,-1.0
159,"A556767","7201 Levander Loop in Austin (TX)",30.25148,-97.690812
160,"A556815","2201 Pennsylvania Ave in Austin (TX)",30.272135,-97.716377
161,"A557091","Austin (TX)",-1.0,-1.0
162,"A557091","Outside Jurisdiction",-1.0,-1.0
163,"A557260","3600 Presidential Blvd in Austin (TX)",30.193489,-97.66501
164,"A557325","Natali And Swanson Ln in Austin (TX)",-1.0,-1.0
165,"A560774","Austin (TX)",-1.0,-1.0
166,"A561593","3101 Shoreline Dr in Austin (TX)",-1.0,-1.0
167,"A563676","10004 Oak Hollow Drive in Austin (TX)",30.376024,-97.706511
168,"A563725","2100 Barton Springs in Austin (TX)",30.267918,-97.768223
169,"A563859","11200 Lakeline Mall Drive in Cedar Park (TX)",30.470513,-97.806971
170,"A564082","Alsatia Drive And Currin Lane in Austin (TX)",-1.0,-1.0
171,"A564491","Austin (TX)",-1.0,-1.0
172,"A564630","6205 North Lamar Boulevard in Austin (TX)",30.330417,-97.722994
173,"A565152","11300 Doyle Overton Road in Travis (TX)",30.080573,-97.639591
174,"A566568","7109 Boyle Drive in Austin (TX)",30.305719,-97.645069
175,"A566659","2508 East Riverside Dr in Austin (TX)",30.236591,-97.722148
176,"A566837","907 Thompson in Austin (TX)",30.27071,-97.70882
177,"A567441","11509 Glen Falloch Ct in Austin (TX)",30.348892,-97.608659
178,"A568412","Pepper Tree in Austin (TX)",-1.0,-1.0
179,"A568668","Stuart Circle And Jain Lane in Austin (TX)",-1.0,-1.0
180,"A568818","West Howard Lane in Austin (TX)",-1.0,-1.0
181,"A568945","Airport And Springdale in Austin (TX)",-1.0,-1.0
182,"A568985","Austin (TX)",-1.0,-1.0
183,"A569057","8220 Research Boulevard in Austin (TX)",30.354861,-97.71705
184,"A569057","2004 Garden Street in Austin (TX)",30.253981,-97.724061
185,"A570053","6916 Providence Ave in Austin (TX)",30.327771,-97.698681
186,"A570239","Springdale Road And East Cesar Chavez Street in Austin (TX)",-1.0,-1.0
187,"A571053","2104 East Anderson Lane in Austin (TX)",30.330016,-97.678173
188,"A571887","17800 Fm 1431 in Jonestown (TX)",-1.0,-1.0
189,"A572200","5805 Arbor Pavilion in Austin (TX)",30.190837,-97.739785
190,"A572680","Austin (TX)",-1.0,-1.0
191,"A572990","Ridgemont Drive in Austin (TX)",-1.0,-1.0
192,"A573892","Austin (TX)",-1.0,-1.0
193,"A574084","Travis (TX)",-1.0,-1.0
194,"A574326","9402 Menchaca Road in Austin (TX)",30.178412,-97.821515
195,"A574564","11604 Stonehollow Drive in Austin (TX)",30.397019,-97.710895
196,"A574931","Cameron Rd And East 51St Street in Austin (TX)",-1.0,-1.0
197,"A575388","Austin (TX)",-1.0,-1.0
198,"A576469","East 51St And Airport Boulevard in Austin (TX)",-1.0,-1.0
199,"A577114","Rundberg And Ih 35 in Austin (TX)",-1.0,-1.0
200,"A577358","1501 Darjeeling Drive in Travis (TX)",30.422727,-97.63615
201,"A578345","Austin (TX)",-1.0,-1.0
202,"A578813","Austin (TX)",-1.0,-1.0
203,"A578861","Austin (TX)",-1.0,-1.0
204,"A578861","Austin (TX)",-1.0,-1.0
205,"A578861","Riverside in Austin (TX)",-1.0,-1.0
206,"A578861","Austin (TX)",-1.0,-1.0
207,"A579948","East 7Th Street And Webberville Road in Austin (TX)",-1.0,-1.0
208,"A582028","8701 Keynes Ln in Austin (TX)",30.152026,-97.746647
209,"A582491","2102 Chicon Street in Austin (TX)",30.282156,-97.721979
210,"A582854","Brodie Land And Hewitt Lane in Austin (TX)",-1.0,-1.0
211,"A583087","Austin (TX)",-1.0,-1.0
212,"A583408","4003 Turquoise in Austin (TX)",30.208305,-97.843315
213,"A583951","Austin (TX)",-1.0,-1.0
214,"A584775","Austin (TX)",-1.0,-1.0
215,"A585197","1940 Webberville Road in Austin (TX)",30.283905,-97.673191
216,"A585735","1930 West Rundberg Lane in Austin (TX)",30.373061,-97.717383
217,"A585901","4404 Sarasota Drive in Austin (TX)",30.211135,-97.847832
218,"A586357","Austin (TX)",-1.0,-1.0
219,"A586437","2504 Bucks Run in Austin (TX)",30.182073,-97.758994
220,"A586437","5Th And Perdernales Street in Austin (TX)",-1.0,-1.0
221,"A586787","6805 Luchenbach Ln in Travis (TX)",-1.0,-1.0
222,"A587232","Springdale Road And East 7Th Street in Austin (TX)",-1.0,-1.0
223,"A587914","19 Margranita Crescent in Austin (TX)",30.298083,-97.758928
224,"A588601","East 12Th Street And Airport Boulevard in Austin (TX)",-1.0,-1.0
225,"A588601","Oak Springs Dr & Gunter St in Austin (TX)",-1.0,-1.0
226,"A588907","5217 Spicewood Springs Rd in Austin (TX)",30.371016,-97.756147
227,"A590339","9500 Interstate Highway 35 in Austin (TX)",-1.0,-1.0
228,"A591112","Austin (TX)",-1.0,-1.0
229,"A591444","Austin (TX)",-1.0,-1.0
230,"A591959","Pflugerville (TX)",-1.0,-1.0
231,"A591971","Austin (TX)",-1.0,-1.0
232,"A591971","Austin (TX)",-1.0,-1.0
233,"A592023","7628 Knockfin Drive in Austin (TX)",30.160214,-97.732717
234,"A592545","3300 Parker Lane in Austin (TX)",30.223878,-97.742275
235,"A592545","3111 Parker Lane in Austin (TX)",30.223562,-97.741976
236,"A592679","2009 Far Gallant Dr in Travis (TX)",30.318156,-97.808921
237,"A594659","Fireoak Drive And Barrington Way in Austin (TX)",-1.0,-1.0
238,"A595061","Rollingwood Dr And South Mopac in Austin (TX)",-1.0,-1.0
239,"A595090","1010 Turtle Creek Blvd in Austin (TX)",30.20539,-97.789362
240,"A595090","5905 Leisure Run Rd in Austin (TX)",30.205566,-97.784008
241,"A595963","Austin (TX)",-1.0,-1.0
242,"A596066","1800 Comal in Austin (TX)",30.281806,-97.725736
243,"A596498","9908 Deer Chase Trail Lane in Austin (TX)",-1.0,-1.0
244,"A596700","1615 Holly Street in Austin (TX)",30.254313,-97.729346
245,"A596885","6008 North Lamar Boulevard in Austin (TX)",30.329469,-97.725682
246,"A597143","Austin (TX)",-1.0,-1.0
247,"A597274","Austin (TX)",-1.0,-1.0
248,"A597601","206 E Croslin St in Austin (TX)",30.336989,-97.707927
249,"A597619","6700 Cooper Lane in Austin (TX)",30.198346,-97.791669
250,"A598352","Left At Shelter in Austin (TX)",-1.0,-1.0
251,"A598832","820 Sirocco Drive in Austin (TX)",30.203111,-97.789413
252,"A598873","1309 North Ridge Drive in Austin (TX)",-1.0,-1.0
253,"A599829","Fm973 And Decker Lake Road in Austin (TX)",-1.0,-1.0
254,"A600858","2201 Montopolis in Austin (TX)",30.222231,-97.704346
255,"A601226","8611 Davis Oaks in Austin (TX)",30.183554,-97.812078
256,"A601455","8509 Dryfield Drive in Austin (TX)",30.359211,-97.714022
257,"A602060","11005 American Mustang Loop in Austin (TX)",30.336316,-97.581006
258,"A602482","6806 Blue Dawn Trail in Austin (TX)",30.183483,-97.761585
259,"A602583","5504 Ledesma Rd in Austin (TX)",30.269654,-97.680781
260,"A602583","1933 Littlefield St in Austin (TX)",30.293305,-97.705765
261,"A602700","Austin (TX)",-1.0,-1.0
262,"A602952","Austin (TX)",-1.0,-1.0
263,"A602954","Austin (TX)",-1.0,-1.0
264,"A603018","Tillery And Lyons Road in Austin (TX)",-1.0,-1.0
265,"A603361","Austin (TX)",-1.0,-1.0
266,"A603886","2239 Cromwell Circle in Austin (TX)",30.228606,-97.718483
267,"A604853","3507 Starline Drive in Austin (TX)",30.362657,-97.745821
268,"A604969","Blueberry Trail in Austin (TX)",-1.0,-1.0
269,"A605245","Travis (TX)",-1.0,-1.0
270,"A606216","Austin (TX)",-1.0,-1.0
271,"A606477","Austin (TX)",-1.0,-1.0
272,"A606477","Austin (TX)",-1.0,-1.0
273,"A606477","Austin (TX)",-1.0,-1.0
274,"A607020","Travis (TX)",-1.0,-1.0
275,"A607075","1156 W Cesar Chavez St in Austin (TX)",30.269672,-97.759772
276,"A607233","6003 Jain Ln in Austin (TX)",30.260097,-97.682886
277,"A607233","Pflugerville (TX)",-1.0,-1.0
278,"A607533","Austin (TX)",-1.0,-1.0
279,"A607627","Austin (TX)",-1.0,-1.0
280,"A607934","6805 Wood Hollow Drive in Austin (TX)",30.35054,-97.754662
281,"A608012","Austin (TX)",-1.0,-1.0
282,"A608756","15017 Babbling Brook Dr in Austin (TX)",-1.0,-1.0
283,"A609515","1938 Holly Hill Street in Austin (TX)",-1.0,-1.0
284,"A609635","8733 Crumley Ranch Road in Travis (TX)",30.271024,-98.024722
285,"A609910","2600 Water Well Ln in Austin (TX)",-1.0,-1.0
286,"A610220","Austin (TX)",-1.0,-1.0
287,"A610406","Austin (TX)",-1.0,-1.0
288,"A610476","12609 Dessau Road in Austin (TX)",30.391433,-97.646232
289,"A610566","6100 Devonshire in Austin (TX)",30.31027,-97.681242
290,"A610566","Outside Jurisdiction",-1.0,-1.0
291,"A610578","Austin (TX)",-1.0,-1.0
292,"A611097","Austin (TX)",-1.0,-1.0
293,"A611127","Outside Jurisdiction",-1.0,-1.0
294,"A611226","Dovehill in Austin (TX)",-1.0,-1.0
295,"A611647","12915 Von Quintus Road in Travis (TX)",30.098398,-97.665758
296,"A611960","Rayburn Lane And Tower Trail in Austin (TX)",-1.0,-1.0
297,"A612028","Travis (TX)",-1.0,-1.0
298,"A612076","2405 Kumquat Ct in Austin (TX)",30.192873,-97.753188
299,"A612848","King Edward Place And Middleham Place in Austin (TX)",-1.0,-1.0
300,"A612857","4705 Leather Leaf Trail in Austin (TX)",-1.0,-1.0
301,"A612881","5112 S 1St St in Austin (TX)",30.213841,-97.77814
302,"A612907","Elmsgrove Drive And Woodmore Drive in Austin (TX)",-1.0,-1.0
303,"A612939","Austin (TX)",-1.0,-1.0
304,"A612986","4600 Elmont Drive in Austin (TX)",30.23849,-97.71687
305,"A613376","5808 Levenwood in Austin (TX)",30.278672,-97.62524
306,"A613954","2201 W William Cannon in Austin (TX)",30.219562,-97.836328
307,"A614097","11517 Robert Wooding in Austin (TX)",30.15003,-97.828184
308,"A614104","Austin (TX)",-1.0,-1.0
309,"A614104","Austin (TX)",-1.0,-1.0
310,"A614175","10601 Menchaca Rd in Austin (TX)",30.149152,-97.833152
311,"A614265","2204 W Slaughter in Austin (TX)",30.174524,-97.827211
312,"A614368","Austin (TX)",-1.0,-1.0
313,"A614394","Austin (TX)",-1.0,-1.0
314,"A614395","Austin (TX)",-1.0,-1.0
315,"A614556","4807 Russet Hill Drive in Austin (TX)",30.288545,-97.672611
316,"A614785","2516 Quicksilver Run Dr in Austin (TX)",-1.0,-1.0
317,"A614785","2516 Quicksilver Blvd in Austin (TX)",30.175061,-97.762411
318,"A614785","7201 Levander Loop in Austin (TX)",30.25148,-97.690812
319,"A615396","Braker Lane And Milbanks Drive in Austin (TX)",-1.0,-1.0
320,"A615593","Austin (TX)",-1.0,-1.0
321,"A615612","Austin (TX)",-1.0,-1.0
322,"A615660","Austin (TX)",-1.0,-1.0
323,"A615851","1156 W Cesar Chavez St in Austin (TX)",30.269672,-97.759772
324,"A615920","10015 Lake Creek Pkwy in Austin (TX)",30.466974,-97.786747
325,"A616030","2535 Ridgepoint Drive in Austin (TX)",30.327716,-97.671822
326,"A616300","San Jacinto Boulevard And East Cesar Chavez in Austin (TX)",-1.0,-1.0
327,"A616300","Austin (TX)",-1.0,-1.0
328,"A616444","Tillery Street And Lyons Road in Austin (TX)",-1.0,-1.0
329,"A616720","Austin (TX)",-1.0,-1.0
330,"A616805","1700 East Slaughter Lane in Travis (TX)",30.153125,-97.768917
331,"A616900","183 And 812 in Austin (TX)",30.214692,-97.683993
332,"A617669","Austin (TX)",-1.0,-1.0
333,"A617671","Austin (TX)",-1.0,-1.0
334,"A617708","Carriage Hills in Manor (TX)",-1.0,-1.0
335,"A617809","2200 Man O War Drive in Travis (TX)",30.217335,-97.524229
336,"A618334","515 East Slaughter Lane in Austin (TX)",30.163968,-97.779096
337,"A618334","12820 North Lamar Boulevard in Austin (TX)",30.414341,-97.678557
338,"A618391","1912 East William Cannon in Austin (TX)",30.188549,-97.764582
339,"A618405","6204 Tiner Trail in Austin (TX)",30.291071,-97.639037
340,"A618405","11245 Avering Lane in Austin (TX)",30.345929,-97.609079
341,"A618681","Pflugerville (TX)",-1.0,-1.0
342,"A618883","Cedar Park (TX)",-1.0,-1.0
343,"A619009","Austin (TX)",-1.0,-1.0
344,"A619052","1015 W William Cannon Dr in Austin (TX)",30.198484,-97.793141
345,"A619084","2000 Magazine Street in Austin (TX)",30.425381,-97.687741
346,"A619094","4806 Turnstone in Austin (TX)",30.187498,-97.746695
347,"A619261","Emerald Wood Dr in Austin (TX)",-1.0,-1.0
348,"A619261","5102 Glissman Road in Austin (TX)",30.25478,-97.691976
349,"A619359","Austin (TX)",-1.0,-1.0
350,"A619451","Austin (TX)",-1.0,-1.0
351,"A619692","12803 Tomanet Trail in Austin (TX)",30.422822,-97.697571
